target,stack_oof_r2,gnn_oof_r2,blend_oof_r2,w_stack
tg,0.9045,0.8422,0.9044,1.0
egc,0.9079,0.8632,0.9096,0.85
egb,0.8997,0.9223,0.9238,0.3
eps,0.7313,0.7721,0.7794,0.3
nc,0.8328,0.8409,0.862,0.45
ei,0.7692,0.7905,0.8003,0.4
eea,0.8639,0.8957,0.9025,0.3
