target,stack_oof_r2,gnn_oof_r2,pred_corr,err_corr,best_blend_r2,w_stack
tg,0.9045,0.8273,0.9552,0.7358,0.9045,0.99
egc,0.9079,0.8344,0.9503,0.6855,0.9085,0.92
egb,0.8997,0.8971,0.9575,0.6268,0.9175,0.52
eps,0.7313,0.7156,0.9214,0.7933,0.7531,0.57
nc,0.8328,0.8138,0.9279,0.6606,0.8542,0.58
ei,0.7692,0.7902,0.9301,0.752,0.8081,0.4
eea,0.8639,0.8851,0.9486,0.6508,0.8984,0.38
