row_id,target_type,gnn_oof
0,egc,5.54259872595569
1,egc,4.597065072339867
2,egc,6.196310457016776
3,tg,4.414308566928213
4,egc,4.676073021358276
5,tg,141.4143028419755
6,egb,1.7380185189065394
7,egc,3.157900106190521
8,egc,2.297127929275174
9,egc,2.560436896032238
10,egc,3.0480929464758093
11,egc,2.4190890040735975
12,egc,2.226246947058751
13,tg,73.78798619649125
14,egc,6.641970398507706
15,egc,7.368614499729091
16,egb,7.569237096360837
17,tg,44.293566973212364
18,tg,20.873472222578073
19,tg,68.08553498616827
20,tg,25.63240168059761
21,egc,6.139460643060573
22,egc,6.894927179529313
23,tg,72.83410500611285
24,tg,89.1872323670162
25,tg,109.5940735279588
26,tg,105.51343039140453
27,tg,65.82899835378808
28,tg,192.85796601202819
29,tg,42.88136031099039
30,tg,60.0422929816954
31,tg,196.35505673430924
32,tg,173.7101249837357
33,tg,238.97508559465433
34,tg,156.354551282709
35,tg,191.3463692231153
36,tg,143.60573572233875
37,tg,164.59843342712327
38,tg,118.22462186109834
39,tg,190.45911554233953
40,tg,93.2209523865398
41,tg,-67.64590366387398
42,tg,72.62116100123873
43,tg,129.56022399809973
44,tg,84.34048179695444
45,tg,75.28892115318573
46,tg,19.374026475751236
47,tg,96.0919994400707
48,tg,59.26087399957052
49,tg,53.780906841614424
50,tg,164.61306702758037
51,tg,212.4547420359682
52,tg,149.26862573111487
53,tg,194.10772198822914
54,tg,157.38103633146017
55,tg,298.1969301091504
56,tg,-11.168692444754953
57,tg,-24.605410379062818
58,tg,47.82311791843827
59,tg,9.834447206183995
60,tg,-1.349349819265143
61,tg,76.63405484346475
62,egc,4.060935249149672
63,egc,3.939968882990185
64,egc,4.0200752690737716
65,egb,1.139324982974836
66,eps,6.907883859067942
67,nc,2.218965648507574
68,egc,2.721828886785092
69,egc,3.3568082782174247
70,egc,3.1676319309753462
71,egc,3.1305446839189317
72,egc,3.691432115323024
73,egb,3.9364851592376313
74,eea,3.0326731151570696
75,egb,5.599184325149979
76,ei,8.360372660117683
77,nc,1.6329258762091192
78,egb,5.100853108092368
79,ei,8.149688972567523
80,egc,3.7786103077925293
81,egc,2.1522096670299256
82,egc,2.0773969591803314
83,egc,2.6609471472651656
84,egc,3.79106379449697
85,egc,1.9548505747129528
86,egc,3.262674930027419
87,egc,2.389865208283526
88,egc,5.943959829492961
89,egc,5.766018586404249
90,egc,5.634075747815125
91,tg,21.47096403139848
92,egb,5.8716958284722
93,ei,8.255242018799308
94,nc,1.6197791098861296
95,egc,5.604731188675918
96,egc,4.39469534088844
97,egc,4.641971956560528
98,egc,5.582308930522518
99,egc,5.508238655553875
100,egc,5.367592443519355
101,egc,3.2537756432849734
102,egc,4.283562810427217
103,eps,4.998757870791448
104,nc,1.9610732170909273
105,egb,6.529615571724908
106,ei,8.586583972256662
107,eps,4.018851470567103
108,egc,5.660004162307101
109,egc,4.56742657315252
110,egc,5.0341141757690275
111,egc,5.70926626174615
112,egc,5.616259508484268
113,egc,4.456334036203691
114,egc,4.39572944716798
115,egc,4.435517804409186
116,egc,4.5403862735869644
117,egc,5.009345164204825
118,egc,4.213983305666963
119,egc,4.209364294502679
120,egc,3.9897398335690912
121,egc,4.053597099758054
122,egc,4.3643901079048035
123,egc,4.235088289919918
124,egc,4.274690022453718
125,egc,2.794179779549899
126,egc,2.593512407063174
127,egc,3.132224341336869
128,egc,2.9147105751157536
129,egc,3.5333711179704483
130,egc,3.459787541731643
131,egc,3.520655634619237
132,egc,3.458092648689938
133,egc,3.4783924816352627
134,egc,3.4851717733918313
135,egc,3.304973414703323
136,egc,3.344877289285175
137,egc,2.749979085184934
138,egc,2.7127667751554982
139,egc,2.469192334272881
140,egc,2.4863564328243863
141,egc,2.5919591211994417
142,egc,2.6729776818373763
143,egc,3.111302932329814
144,egc,3.4126874053464
145,egc,2.5475798989731375
146,egc,3.795580035303378
147,egc,3.310648263941787
148,egc,2.577058868093814
149,egc,2.5258316535988556
150,egc,2.841232807012569
151,egc,2.806430716581292
152,egc,3.5119876863358557
153,egc,3.276583465536814
154,egc,2.975058600453353
155,egc,2.7146000973923043
156,egc,3.365747009335517
157,egc,4.290005983760029
158,egc,3.818506471092412
159,egc,6.789298693410944
160,egc,2.6916855323039988
161,egc,4.9185212411931065
162,egc,5.2211179511027135
163,egc,5.908221729635795
164,egc,5.821996137532172
165,egc,5.825727276364069
166,egc,5.928946571055208
167,egc,5.930230663075665
168,egc,3.563074695704108
169,egc,5.825191599309968
170,egb,5.685338258088937
171,egc,5.92821441988355
172,egc,6.071082789706273
173,egc,5.941072632053748
174,egc,2.8263015218388974
175,eea,3.181433449023352
176,egb,2.816600432793496
177,ei,6.335288534676797
178,eps,4.598039151224367
179,nc,1.9653306972525155
180,eea,3.5761989958726392
181,egb,2.380766996600556
182,ei,6.350615849666113
183,eps,5.0039644157558705
184,egc,5.103891323022895
185,egc,3.0258489357734955
186,egc,2.8758808587446385
187,egc,2.8399743257952568
188,egc,2.8518162377370064
189,egc,4.2859923082302975
190,egc,3.9234940328415657
191,egb,2.571925107748945
192,ei,6.042674097832315
193,eps,4.5913173867643895
194,ei,5.860035462743083
195,nc,2.223772966447955
196,eea,2.6771355780187247
197,ei,5.769900944795648
198,eps,5.0431264902932655
199,nc,2.3922873314069726
200,eea,2.8698802816841265
201,ei,5.490981263525033
202,nc,2.394395102533006
203,ei,5.522097614122621
204,eps,7.006195561701368
205,nc,2.5130377502813093
206,ei,6.371580482533623
207,eps,5.117742712622904
208,nc,2.1778410130727375
209,egb,1.5126668298862072
210,eps,6.090870917904367
211,ei,6.25319253381488
212,eps,5.516619130668911
213,nc,2.1949734033912764
214,eea,4.1436463817021
215,egb,1.0870635400666866
216,ei,5.886582531822036
217,eps,7.340403498105994
218,eea,4.523109086500085
219,egb,1.6266266318293647
220,ei,6.698437317153449
221,nc,2.0946832535550737
222,eea,4.894594964631146
223,ei,6.6480612560022605
224,egc,4.09483955941961
225,egc,3.6097739388970562
226,egb,3.980272211837729
227,egc,4.298088458801807
228,eea,3.1997379947856603
229,egb,2.6651618579519036
230,ei,6.842680419101367
231,eps,4.804263569529227
232,nc,2.0273576477801654
233,ei,6.712093359688354
234,egb,2.133964243602139
235,nc,2.3028267327993106
236,eea,3.362265541161074
237,ei,6.40880930777756
238,eea,3.529678461623588
239,eps,6.002945374738585
240,eea,3.835915592289026
241,ei,6.323810966063441
242,eps,6.86721247237511
243,nc,2.3320449031308863
244,egc,3.6555073557071704
245,egc,3.3523374171370266
246,eea,2.3468108820851548
247,egb,2.1541938556528337
248,nc,2.1628366997711734
249,eea,3.1525729844683315
250,ei,6.444146274845206
251,eps,4.335273646840545
252,nc,1.9631296411160941
253,nc,2.003996106162459
254,ei,6.1385683295851985
255,nc,1.951932696399104
256,eea,2.492601048079169
257,egb,3.001811675791008
258,egc,3.1237140770859897
259,egc,2.6329042525222954
260,egc,2.9307657445851
261,egc,2.889482438496631
262,egc,2.775411734348878
263,egc,2.864677534419992
264,egc,3.025547494751078
265,egc,3.126646981396508
266,egc,3.050565884500648
267,egc,3.004677961640904
268,egc,3.017965481909076
269,egc,2.367068415501653
270,egc,3.057972734404352
271,egc,2.978101612523378
272,egc,2.8866355266638255
273,egc,2.80570894058901
274,egc,2.8851031780990146
275,egc,2.951118107717898
276,egc,2.6194396999141363
277,egc,2.5938066508890874
278,egc,2.861473566864509
279,egc,2.7795814348171115
