target,lgb,cat,xgb,hgb,l15,final
tg,32.5767,36.3085,33.4674,33.8635,32.5829,32.5924
egc,0.4475,0.4826,0.4518,0.4687,0.4471,0.4478
egb,0.6289,0.5951,0.6204,0.6534,0.6059,0.5941
eps,0.5144,0.5091,0.522,0.5287,0.5065,0.5296
nc,0.0937,0.0967,0.0988,0.1024,0.0982,0.0993
ei,0.4477,0.4447,0.4611,0.4632,0.4493,0.4867
eea,0.4055,0.376,0.4214,0.4143,0.3868,0.397
