target,lgb,cat,xgb,hgb,mtnn,gnn,stack
tg,42.6623,45.0387,42.2544,41.3707,129.7679,179.2045,37.6754
egc,0.6365,0.698,0.6236,0.6244,3.6852,99.6181,0.5674
egb,0.7878,0.8738,0.8052,0.7887,3.5074,109.8537,0.7177
eps,0.6149,0.6577,0.6207,0.6067,2.5174,105.0904,0.5982
nc,0.1215,0.1271,0.12,0.1194,1.05,102.8224,0.1111
ei,0.5332,0.5898,0.5423,0.5412,3.4955,103.2815,0.5096
eea,0.4968,0.5395,0.4864,0.4853,1.7859,106.115,0.4439
