target,r2_p14,r2_v22,delta,alpha,w_bert,bert_only_r2
eea,0.9091036238357381,0.906385085171691,-0.002718538664047032,0.1,0.03800323558314621,0.6235266278127496
egb,0.9266870686993695,0.9249152436017489,-0.0017718250976205274,10.0,0.02734093885878407,0.6077093911671303
egc,0.9069004626357889,0.906944706936792,4.42443010030269e-05,1.0,-0.03570408746745262,0.6196423248856635
ei,0.8038178647605269,0.803300139569338,-0.000517725191188867,5.0,0.1834551935708128,0.6464564036562989
eps,0.7620661092919444,0.7569716644185107,-0.00509444487343369,10.0,-0.0008498717866318589,0.300719155898152
nc,0.8242897512349355,0.824019470855744,-0.00027028037919152315,0.1,0.0003686668543644977,0.48832212397722435
tg,0.9018122291568527,0.9018926964976859,8.046734083322349e-05,0.1,-0.02241791731812652,0.5563041891213487
mean,0.8620967299450223,0.860632715293073,-0.0014640146519493413,,,
